week_ending,influenza_season,estimate,mmwr_year,mmwr_week,as_of_date,race_and_ethnicity,current_season_week_ending_label
2022-01-29T00:00:00.000,2021-2022,54.67,2022,4,,"White, Non-Hispanic",2026-01-24 00:00:00.0000000
2022-02-05T00:00:00.000,2021-2022,54.82,2022,5,,"White, Non-Hispanic",2026-01-31 00:00:00.0000000
2022-02-12T00:00:00.000,2021-2022,54.96,2022,6,,"White, Non-Hispanic",2026-02-07 00:00:00.0000000
2022-02-19T00:00:00.000,2021-2022,55.06999999999999,2022,7,,"White, Non-Hispanic",2026-02-14 00:00:00.0000000
2022-02-26T00:00:00.000,2021-2022,55.15,2022,8,,"White, Non-Hispanic",2026-02-21 00:00:00.0000000
2022-03-05T00:00:00.000,2021-2022,55.23,2022,9,,"White, Non-Hispanic",2026-02-28 00:00:00.0000000
2022-03-12T00:00:00.000,2021-2022,55.28,2022,10,,"White, Non-Hispanic",2026-03-07 00:00:00.0000000
2022-03-19T00:00:00.000,2021-2022,55.33,2022,11,,"White, Non-Hispanic",2026-03-14 00:00:00.0000000
2022-03-26T00:00:00.000,2021-2022,55.37,2022,12,,"White, Non-Hispanic",2026-03-21 00:00:00.0000000
2022-04-02T00:00:00.000,2021-2022,55.41,2022,13,,"White, Non-Hispanic",2026-03-28 00:00:00.0000000
2022-04-09T00:00:00.000,2021-2022,55.43,2022,14,,"White, Non-Hispanic",2026-04-04 00:00:00.0000000
2022-04-16T00:00:00.000,2021-2022,55.45,2022,15,,"White, Non-Hispanic",2026-04-11 00:00:00.0000000
2022-04-23T00:00:00.000,2021-2022,55.47,2022,16,,"White, Non-Hispanic",2026-04-18 00:00:00.0000000
2022-04-30T00:00:00.000,2021-2022,55.48,2022,17,,"White, Non-Hispanic",2026-04-25 00:00:00.0000000
2022-05-07T00:00:00.000,2021-2022,55.50000000000001,2022,18,,"White, Non-Hispanic",2026-05-02 00:00:00.0000000
2022-05-14T00:00:00.000,2021-2022,55.510000000000005,2022,19,,"White, Non-Hispanic",2026-05-09 00:00:00.0000000
2022-05-21T00:00:00.000,2021-2022,55.52,2022,20,,"White, Non-Hispanic",2026-05-16 00:00:00.0000000
2022-05-28T00:00:00.000,2021-2022,55.53,2022,21,,"White, Non-Hispanic",2026-05-23 00:00:00.0000000
2022-01-01T00:00:00.000,2021-2022,37.52,2021,52,,"Black, Non-Hispanic",2025-12-27 00:00:00.0000000
2022-01-08T00:00:00.000,2021-2022,37.88,2022,1,,"Black, Non-Hispanic",2026-01-03 00:00:00.0000000
2022-01-15T00:00:00.000,2021-2022,38.25,2022,2,,"Black, Non-Hispanic",2026-01-10 00:00:00.0000000
2022-01-22T00:00:00.000,2021-2022,38.52,2022,3,,"Black, Non-Hispanic",2026-01-17 00:00:00.0000000
2022-01-29T00:00:00.000,2021-2022,38.8,2022,4,,"Black, Non-Hispanic",2026-01-24 00:00:00.0000000
2022-02-05T00:00:00.000,2021-2022,39.0,2022,5,,"Black, Non-Hispanic",2026-01-31 00:00:00.0000000
2022-02-12T00:00:00.000,2021-2022,39.2,2022,6,,"Black, Non-Hispanic",2026-02-07 00:00:00.0000000
2022-02-19T00:00:00.000,2021-2022,39.36,2022,7,,"Black, Non-Hispanic",2026-02-14 00:00:00.0000000
2022-02-26T00:00:00.000,2021-2022,39.49,2022,8,,"Black, Non-Hispanic",2026-02-21 00:00:00.0000000
2022-03-05T00:00:00.000,2021-2022,39.6,2022,9,,"Black, Non-Hispanic",2026-02-28 00:00:00.0000000
